LOAN_PRODUCT_TYPE;LOAN_AMOUNT;BRANCH_REGION;CLIENT_GENDER;CLIENT_FAMILYSTATUS;CLIENT_TOTALEXPERIENCE;CLIENT_EDUCATION;CLIENT_ACTIVITYTYPE;CLIENT_TOGETHER INCOME;LOAN_OUTSTANDINGLOANSCOUNT;LOAN_OVERDUE_EXIST_FLAG;EMPLOYMENTTYPE;LOAN TERM;ZODIAC;ZODIAC_CHINA;AGE;CHANGE-WORK;REAL_ESTATE;CAR;DELAY
Cпоживчий кредит без довiдки про доходи;10373,44;Житомирська область;Жінка;Розлучений (-на);22;Вища освіта;державна служба;6500;3;Так;Офіційно працевлаштований;182;весы;Бык;43; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;28026,91;Харків;Жінка;Одружений (-на);20;Середня - технічна;торгівля та послуги;8000;1;Ні;ФОП;1094;телец;Дракон;41; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;5186,72;Харківська область;Жінка;Розлучений (-на);29;Середня - технічна;інша;3500;2;Так;Офіційно працевлаштований;364;весы;Собака;46; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;22421,52;Київ;Чоловік;Одружений (-на);42;Середня;торгівля та послуги;7500;3;Так;Офіційно працевлаштований;1094;лев;Дракон;53; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;28026,91;Київ;Жінка;Одружений (-на);25;Вища освіта;інша;9000;6;Ні;Офіційно працевлаштований;1094;рак;Дракон;53; була зміна місця роботи;не має власної нерухомості;не має власного;есть прострочка
"Споживчий кредит ""Лояльний""";30818,97;Черкаська область;Жінка;Одружений (-на);25;Середня - технічна;інша;8379,92;3;Так;Офіційно працевлаштований;729;рак;Дракон;53; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;28026,91;Київ;Жінка;Розлучений (-на);26;Середня - технічна;торгівля та послуги;7000;0;Ні;Офіційно працевлаштований;1094;скорпион;Свинья;45; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;26939,66;Чернігівська область;Чоловік;Одружений (-на);13;Середня - технічна;державна служба;6500;5;Так;Офіційно працевлаштований;729;рак;Дракон;29; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
"Споживчий кредит ""Лояльний""";17523,36;Харків;Чоловік;Одружений (-на);37;Середня;виробництво;3439;4;Так;Офіційно працевлаштований;1458;лев;Тигр;55; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;22198,28;Сумська область;Жінка;В громадянскому шлюбі;5;Середня - технічна;торгівля та послуги;4700;1;Так;Офіційно працевлаштований;546;лев;Лошадь;27; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
