"";"LOAN_AMOUNT";"BRANCH_REGION";"CLIENT_GENDER";"CLIENT_FAMILYSTATUS";"CLIENT_TOTALEXPERIENCE";"CLIENT_EDUCATION";"CLIENT_ACTIVITYTYPE";"CLIENT_TOGETHER.INCOME";"LOAN_OUTSTANDINGLOANSCOUNT";"LOAN_OVERDUE_EXIST_FLAG";"EMPLOYMENTTYPE";"LOAN.TERM";"ZODIAC";"ZODIAC_CHINA";"AGE";"CHANGE.WORK";"REAL_ESTATE";"CAR";"DELAY"
"764";3,45978647611443;6;1;3;0,575081116584683;0;5;0,462561850181339;-0,421641485732825;1;1;1,94803685233089;10;4;0,0167305179982552;0;1;1;0
"765";-0,280681803230815;14;1;3;-1,33608246262268;0;3;-0,592463239445395;2,20735302567957;1;1;0,879690384637608;7;9;-1,41516066203258;0;1;1;0
"766";0,0508315850075738;2;0;4;0,900385555598701;5;3;-0,570055634854245;-0,421641485732825;1;1;-0,194510036303304;7;7;0,619632067484924;0;0;1;1
"767";0,417357188618398;8;1;3;-1,21409329799242;0;5;-0,14431114762239;0,0165242661692412;0;1;0,879690384637608;8;8;-1,26443527466092;0;1;1;0
"769";0,417357188618398;6;1;4;-0,563484419964382;5;5;-0,0882921361445145;-0,421641485732825;1;1;0,879690384637608;3;0;-0,736896418860081;0;0;1;0
"771";-0,534514421196938;7;0;1;0,0871244580636551;0;2;-0,0882921361445145;1,76918727377751;0;1;0,879690384637608;0;2;0,845720148542424;1;0;1;1
"772";3,59289428829423;6;1;4;-0,563484419964382;0;3;4,85477541969108;0,454690018071308;1;4;1,94803685233089;11;0;-0,661533725174247;0;0;0;0
"774";-0,407598395236926;17;0;5;-0,319506090703868;5;5;-0,368387193533893;0,454690018071308;1;1;0,879690384637608;3;10;-0,51080833780258;0;1;1;0
"775";-0,581910593110876;2;0;4;-0,644810529717887;5;1;-0,275229818206645;-0,859807237634891;1;1;-1,25992952737276;11;10;-0,435445644116746;1;1;1;1
"776";-0,559131766017761;11;0;4;-1,21409329799242;0;2;-0,458017611898494;1,33102152187544;1;1;-0,191583059679487;10;7;-1,26443527466092;0;0;1;1
"777";-0,581910593110876;14;0;4;-0,0755277614433541;5;3;-0,536444227967519;-0,859807237634891;0;1;-1,25992952737276;3;8;-0,435445644116746;1;0;1;1
"778";0,417357188618398;7;0;4;0,900385555598701;0;2;-0,0546807292577892;-0,421641485732825;0;1;0,879690384637608;9;1;0,845720148542424;0;0;1;1
"779";-0,99293987307265;13;0;3;-0,8887888589784;4;2;-0,592463239445395;0,454690018071308;1;1;-1,78971229628368;0;8;-1,26443527466092;0;1;1;0
"780";-0,581910593110876;13;1;3;1,71364665313375;0;3;-0,14431114762239;-0,859807237634891;0;1;-1,25992952737276;6;6;1,67470977908659;0;0;1;1
"781";0,417357188618398;6;0;4;-1,29541940774592;5;2;-0,14431114762239;1,33102152187544;1;1;0,879690384637608;9;9;-1,49052335571842;0;1;1;0
"782";0,35581382656634;14;0;4;0,656407226338188;4;3;-0,536444227967519;-0,421641485732825;1;1;-0,191583059679487;11;7;0,619632067484924;0;0;1;1
"783";-0,96358019403916;6;0;1;1,71364665313375;4;3;-0,704501262401146;-1,29797298953696;1;1;-1,25992952737276;4;1;1,82543516645826;0;0;1;1
"784";-1,05165809904743;10;0;4;-0,563484419964382;0;3;-0,592463239445395;-0,421641485732825;0;1;-1,78971229628368;2;9;-0,51080833780258;0;1;0;1
"785";-0,288317765098668;13;1;3;-1,13276718823891;0;2;-0,424406205011768;-1,29797298953696;0;1;-1,25992952737276;5;3;-1,11370988728925;1;1;1;1
"786";0,35581382656634;6;1;3;-0,8887888589784;0;0;0,0797648982891123;-1,29797298953696;0;1;-0,191583059679487;0;1;-0,887621806231748;0;0;1;0
"788";-0,875502855076986;14;1;5;1,30701610436622;5;3;-0,592463239445395;0,454690018071308;1;0;-1,25992952737276;5;9;1,29789631065743;0;1;0;1
"789";2,46788352017186;6;1;3;-1,05144107848541;5;5;0,015267969614175;-0,859807237634891;0;1;1,94803685233089;1;3;-1,18907258097508;0;0;1;0
"790";0,417357188618398;15;0;3;1,55099443362674;0;3;-0,0882921361445145;1,76918727377751;1;1;0,879690384637608;0;7;1,52398439171493;0;0;1;0
"791";0,0619917498842662;17;0;4;0,493755006831178;5;5;-0,514036623376369;1,33102152187544;1;1;0,879690384637608;0;6;-0,133994869373412;0;0;0;0
"792";-0,758065837081322;14;0;4;1,22568999461272;0;3;-0,256349170578141;-0,859807237634891;0;1;-1,25992952737276;0;5;1,22253361697159;0;0;1;1
"793";2,13724863547824;15;0;4;0,656407226338188;0;5;1,08810710489087;2,20735302567957;1;3;1,94803685233089;6;5;0,318181292741589;0;1;1;0
"794";-0,288317765098668;6;0;1;0,900385555598701;5;5;0,303840944200615;1,33102152187544;1;1;-1,25992952737276;9;7;0,54426937379909;0;0;1;0
"795";3,59289428829423;3;1;3;-1,13276718823891;0;5;4,85477541969108;3,27721135774744;1;4;0,879690384637608;6;3;-1,11370988728925;0;1;1;0
"796";0,417357188618398;6;0;0;-0,726136639471391;5;5;-0,200330159100266;1,33102152187544;1;1;0,879690384637608;1;1;-0,962984499917581;0;1;0;0
"798";-1,05165809904743;10;0;2;-0,319506090703868;0;5;-0,536444227967519;-1,29797298953696;1;1;-1,25992952737276;3;9;-0,586171031488413;0;0;1;1
"799";-0,758065837081322;18;1;0;-1,13276718823891;0;5;-0,0322731246666389;1,33102152187544;1;1;-1,78971229628368;3;6;-1,11370988728925;0;0;1;1
"800";-0,347036557119549;13;0;5;1,71364665313375;5;5;-0,189126356804691;-1,29797298953696;0;1;-1,78971229628368;10;7;1,44862169802909;0;1;1;1
"801";0,35581382656634;18;1;3;-1,33608246262268;5;5;-0,368387193533893;-0,421641485732825;0;1;-0,191583059679487;10;9;-1,49052335571842;0;0;1;1
"802";-0,217224073273859;10;1;5;-0,156853871196859;0;5;0,75199303602362;3,27721135774744;1;1;0,879690384637608;0;0;-0,661533725174247;0;1;1;0
"805";-1,04217909108308;13;0;4;1,71364665313375;4;3;-0,726908866992296;-0,421641485732825;1;1;0,879690384637608;0;7;1,52398439171493;0;0;1;0
"806";0,417357188618398;6;1;4;-0,319506090703868;4;0;-0,14431114762239;-0,859807237634891;0;1;0,879690384637608;9;9;-0,586171031488413;0;1;1;0
