LOAN_PRODUCT_TYPE;LOAN_AMOUNT;BRANCH_REGION;CLIENT_GENDER;CLIENT_FAMILYSTATUS;CLIENT_TOTALEXPERIENCE;CLIENT_EDUCATION;CLIENT_ACTIVITYTYPE;CLIENT_TOGETHER INCOME;LOAN_OUTSTANDINGLOANSCOUNT;LOAN_OVERDUE_EXIST_FLAG;EMPLOYMENTTYPE;LOAN TERM;ZODIAC;ZODIAC_CHINA;AGE;CHANGE-WORK;REAL_ESTATE;CAR;DELAY
Consumer loan without income certificate;12448,13;Kharkiv;M;Одружений (-на);20;Середня - технічна;виробництво;12000;4;Так;Офіційно працевлаштований;364;весы;Бык;43; була зміна місця роботи;не має власної нерухомості;не має власного;Yes
Consumer loan without income certificate;26939,66;Dnipropetrovsk region;M;Неодружений(-на);5;Вища освіта;державна служба;19000;4;Так;Офіційно працевлаштований;729;лев;Обезьяна;25; була зміна місця роботи;не має власної нерухомості;не має власного;Yes
Consumer loan without income certificate;28026,91;Kiev;M;Одружений (-на);23;Незакінчена середня;торгівля та послуги;10000;2;Ні;Офіційно працевлаштований;1094;дева;Собака;47; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;5186,72;Kharkiv region;M;Одружений (-на);9;Вища освіта;виробництво;7000;1;Так;Офіційно працевлаштований;90;стрелец;Змея;27; не змінювалось місце роботи;не має власної нерухомості;не має власного;No
Consumer loan without income certificate;12892,38;Chernihiv region;F;Неодружений(-на);24;Середня - технічна;державна служба;6000;8;Так;Офіційно працевлаштований;1093;близнецы;Кролик;42; була зміна місця роботи;має власну нерухомість;не має власного;Yes
Consumer loan without income certificate;3232,76;Kharkiv region;M;Одружений (-на);38;Середня - технічна;інша;2100;2;Ні;Офіційно працевлаштований;729;близнецы;Тигр;67; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan with income statement;81775,7;Kirovograd region;M;Одружений (-на);8;Вища освіта;торгівля та послуги;20000;6;Так;Офіційно працевлаштований;1460;рыбы;Змея;28; не змінювалось місце роботи;не має власної нерухомості;має власний автомобіль;Yes
Loan Consumer Credit;5186,72;Cherkasy region;F;Одружений (-на);35;Середня - технічна;інша;12200;11;Так;Офіційно працевлаштований;364;стрелец;Тигр;66; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;17937,22;Zhytomyr region;F;Неодружений(-на);1;Вища освіта;інша;5500;4;Так;Офіційно працевлаштований;1093;весы;Свинья;21; не змінювалось місце роботи;не має власної нерухомості;не має власного;Yes
Consumer loan with income statement;86206,9;Kiev;M;Одружений (-на);17;Середня - технічна;торгівля та послуги;72396,95;8;Так;ФОП;729;козерог;Тигр;43; була зміна місця роботи;має власну нерухомість;не має власного;Yes
Consumer loan without income certificate;16163,79;Mykolaiv region;M;Одружений (-на);16;Середня;будівництво;6800;5;Так;Офіційно працевлаштований;729;овен;Обезьяна;37; була зміна місця роботи;не має власної нерухомості;не має власного;No
Consumer loan with income statement;112107,62;Zhytomyr region;M;Неодружений(-на);7;Незакінчена вища;торгівля та послуги;68461,56;8;Так;ФОП;1093;дева;Обезьяна;25; була зміна місця роботи;має власну нерухомість;має власний автомобіль;Yes
Consumer loan without income certificate;17064,32;Sumy region;F;Одружений (-на);4;Незакінчена вища;торгівля та послуги;5600;1;Ні;Офіційно працевлаштований;364;рак;Свинья;22; була зміна місця роботи;має власну нерухомість;не має власного;Yes
Loan Consumer Credit;25784,75;Chernihiv region;M;Одружений (-на);31;Середня - технічна;інша;5000;3;Так;Офіційно працевлаштований;1093;стрелец;Обезьяна;60; була зміна місця роботи;має власну нерухомість;не має власного;Yes
Consumer loan without income certificate;26939,66;Mykolaiv region;M;Одружений (-на);5;Незакінчена вища;торгівля та послуги;7000;1;Так;Офіційно працевлаштований;729;козерог;Крыса;21; була зміна місця роботи;не має власної нерухомості;не має власного;No
